ky-hedc 	Kentucky 	Henderson County Detention Center 	Y
ky-hcso 	Kentucky 	Hickman County Sheriff's Office 	Y
ky-hocj 	Kentucky 	Hopkins County Jail 	Y
ky-jcdc 	Kentucky 	Jackson County Detention Center 	Y
ky-jcso 	Kentucky 	Jessamine County Sheriff's Office 	Y
ky-kcdc 	Kentucky 	Kenton County Detention Center 	Y
ky-kcso 	Kentucky 	Knox County Sheriff's Office 	Y
ky-lcdc 	Kentucky 	Larue County Detention Center 	Y
ky-lccc 	Kentucky 	Laurel County Correctional Center 	Y
ky-ledc 	Kentucky 	Leslie County Detention Center 	Y
ky-lcso 	Kentucky 	Letcher County Sheriff's Office 	Y
ky-lsdc 	Kentucky 	Lewis County Detention Center 	Y
ky-lnrj 	Kentucky 	Lincoln County Regional Jail 	Y
ky-lcj 	Kentucky 	Logan County Jail 	Y
ky-mcdc 	Kentucky 	Madison County Detention Center 	Y
ky-mndc 	Kentucky 	Marion County Detention Center 	Y
ky-mcso 	Kentucky 	Marshall County Sheriff's Office 	Y
ky-madc 	Kentucky 	Mason County Detention Center 	Y
ky-mccj 	Kentucky 	McCracken County Jail  * 	Y
ky-mrdc 	Kentucky 	McCreary County Dention Center  * 	Y
ky-mcsd 	Kentucky 	Meade County Sheriff's Department 	Y
ky-mecc 	Kentucky 	Monroe County Correctional Center 	Y
ky-mgrj 	Kentucky 	Montgomery County Regional Jail 	Y
ky-mhsd 	Kentucky 	Muhlenberg County Sheriff's Department 	Y
ky-ncso 	Kentucky 	Nelson County Sheriff's Office 	Y
ky-ocdc 	Kentucky 	Ohio County Detention Center 	Y
ky-ocj 	Kentucky 	Oldham County Jail 	Y
ky-prso 	Kentucky 	Perry County Sheriff's Office 	Y
ky-pcdc 	Kentucky 	Pike County Detention Center 	Y
ky-pcso 	Kentucky 	Powell County Sheriff's Office 	Y
ky-pudc 	Kentucky 	Pulaski County Detention Center 	Y
ky-rcdc 	Kentucky 	Rockcastle County Detention Center 	Y
ky-rcsd 	Kentucky 	Rowan County Sheriff's Department 	Y
ky-rsdc 	Kentucky 	Russell County Detention Center 	Y
ky-stsd 	Kentucky 	Scott County Sheriff's Department 	Y
ky-scsd 	Kentucky 	Shelby County Sheriff's Department 	Y
ky-scdc 	Kentucky 	Simpson County Detention Center 	Y
ky-tcdc 	Kentucky 	Taylor County Detention Center 	Y
ky-tfrj 	Kentucky 	Three Forks Regional Jail 	Y
ky-ucj 	Kentucky 	Union County Jail 	Y
ky-wcso 	Kentucky 	Warren County Sheriff's Office 	Y
ky-wayne 	Kentucky 	Wayne County Sheriff’s Office 	Y
ky-wcj 	Kentucky 	Webster County Jail  * 	Y
ky-wcdc 	Kentucky 	Whitley County Detention Center 	Y
ky-wddc 	Kentucky 	Woodford County Detention Center 	Y
la-acso 	Louisiana 	Allen Parish County Sheriff’s Office 	Y
la-apso 	Louisiana 	Ascension Parish County Sheriff's Office 	Y
la-cadd 	Louisiana 	Caddo Parish Sheriff's Office 	Y
la-lpcso 	Louisiana 	Lafourche Parish County Sheriff's Office 	Y
la-opso 	Louisiana 	Ouachita Parish County Sheriff's Office 	Y
la-rpso 	Louisiana 	Rapides Parish County Sheriff's Office 	Y
la-sjpso 	Louisiana 	St. James Parish County Sheriff's Office 	Y
la-smpso 	Louisiana 	St. Mary Parish County Sheriff’s Office 	Y
md-bcso 	Maryland 	Baltimore County Sheriff's Office 	Y
md-dcso 	Maryland 	Dorchester County Sheriff's Office 	Y
